id,lng,lat,status,blockageType,classification,loggedTime
16636619,153.0329059,-27.659469,In Progress,Unknown,Broken-down Vehicle,14:32:44 15-08-2019
16636607,153.3995639,-28.09863904,In Progress,No Blockage,Recurring,14:27:29 15-08-2019
16636603,152.9634552,-27.49888039,In Progress,Unknown,Broken-down Vehicle,14:25:58 15-08-2019
16636595,153.3898917,-27.97611597,In Progress,Partially Blocked,Roadworks,14:12:31 15-08-2019
16636526,152.9627991,-27.50071526,In Progress,No Blockage,Broken-down Vehicle,13:56:20 15-08-2019
16636465,153.1130609,-26.69377983,Completed,No Blockage,Broken-down Vehicle,13:36:53 15-08-2019
16636441,153.3147516,-27.89121798,In Progress,No Blockage,Broken-down Vehicle,13:27:37 15-08-2019
16636438,152.964433,-26.68419759,Completed,No Blockage,Primary Crash,13:27:35 15-08-2019
16636419,153.0271912,-27.46859169,In Progress,Partially Blocked,Illegally Parked Vehicle,13:27:24 15-08-2019
16636270,153.1195526,-27.60734177,In Progress,Unknown,None,13:03:15 15-08-2019
16636269,153.0465831,-27.49952705,In Progress,Partially Blocked,Primary Crash,13:02:30 15-08-2019
16636266,152.8388266,-26.3877387,Aborted,Unknown,None,13:01:51 15-08-2019
16636264,153.2753906,-28.1443882,In Progress,Unknown,None,13:01:14 15-08-2019
16636258,153.2362061,-28.225317,In Progress,Unknown,None,12:58:45 15-08-2019
16636252,153.183372,-27.51702275,In Progress,Unknown,Roadworks,12:54:44 15-08-2019
16636244,153.0427094,-26.66327286,Completed,Unknown,Broken-down Vehicle,12:47:14 15-08-2019
16636223,152.941452,-27.54978561,In Progress,No Blockage,Broken-down Vehicle,12:11:49 15-08-2019
16636218,153.0116577,-27.45996475,Completed,No Blockage,Debris/Obstruction/Spill,12:08:39 15-08-2019
16636207,153.1195526,-27.60734177,In Progress,Unknown,None,11:59:20 15-08-2019
16636143,153.1933899,-27.69301605,In Progress,No Blockage,Broken-down Vehicle,11:52:40 15-08-2019
16636138,153.1016374,-27.57803249,In Progress,Unknown,None,11:51:18 15-08-2019
16636128,153.26517,-27.80667,In Progress,Unknown,None,11:50:56 15-08-2019
16636099,153.103652,-27.64204449,Completed,No Blockage,Debris/Obstruction/Spill,11:41:09 15-08-2019
16636089,153.1653584,-27.65684568,Completed,No Blockage,Broken-down Vehicle,11:37:34 15-08-2019
16636080,153.3169861,-27.90573502,Completed,No Blockage,Other,11:36:31 15-08-2019
16636035,153.0768302,-27.34606937,Completed,Partially Blocked,Primary Crash,11:29:51 15-08-2019
16636028,153.0892479,-26.71388911,Completed,Unknown,Debris/Obstruction/Spill,11:28:35 15-08-2019
